id,symbol,name,industry,industry_id,stockrecord_ptr_id,ticker_id,date,time,annual_gain,book_value,change,change_inpercent,dividend_share,dividend_yield,eps_est_current_year,eps_est_next_quarter,eps_est_next_year,earnings_share,fifty_day_MA,oneyr_target_price,peg_ratio,pe_ratio,ebitda,market_cap,percent_change_from_year_high,percent_change,percent_change_fifty_MA,percent_change_twohund_MA,percent_change_from_year_low,price_book,price_eps_est_current_year,price_eps_est_next_year,price_sales,twohund_MA,volume,year_high,year_low,last_trade_price
519,A31.SI,Addvalue Technologies Ltd,Communication Equipment,841,1082,519,2014-08-29,05:04:00,,0.016,-0.002,-1.98%,0,,0,0,0,-0.001,0.1114,,,,306K,117.5M,-45.60%,-1.98%,-11.16%,-9.64%,+70.69%,6.31,,,9.25,0.1096,2727000,0.182,0.058,0.099
519,A31.SI,Addvalue Technologies Ltd,Communication Equipment,841,492,519,2014-08-29,05:04:00,,0.016,-0.002,-1.98%,0,,0,0,0,-0.001,0.112,,,,306K,117.5M,-45.60%,-1.98%,-11.63%,-9.70%,+70.69%,6.31,,,9.25,0.1096,2727000,0.182,0.058,0.099
27,5IA.SI,Advanced Holdings Ltd,Oil & Gas Equipment & Services,124,668,27,2014-08-28,04:42:00,,0.236,0,0.00%,0.009,4.09,0,0,0,0.016,0.23,,,13.75,11.1M,66.8M,-34.33%,0.00%,-4.35%,-14.72%,+4.76%,0.93,,,0.59,0.258,99000,0.335,0.21,0.22
27,5IA.SI,Advanced Holdings Ltd,Oil & Gas Equipment & Services,124,27,27,2014-08-28,04:42:00,,0.236,0,0.00%,0.009,4.09,0,0,0,0.016,0.2309,,,13.75,11.1M,66.8M,-34.33%,0.00%,-4.74%,-14.80%,+4.76%,0.93,,,0.59,0.2582,99000,0.335,0.21,0.22
16,5FH.SI,Advance Sct Ltd,Copper,131,16,16,2014-08-29,10:16:00,,0,0,0.00%,0,,0,0,0,0,0.0023,,,,-2.4M,21.7M,-81.82%,0.00%,-11.90%,-30.43%,0.00%,,,,0.21,0.0029,4101000,0.011,0.002,0.002
16,5FH.SI,Advance Sct Ltd,Copper,131,660,16,2014-08-29,10:16:00,,0,0,0.00%,0,,0,0,0,0,0.0022,,,,-2.4M,21.7M,-81.82%,0.00%,-10.84%,-30.29%,0.00%,,,,0.21,0.0029,4101000,0.011,0.002,0.002
534,A54.SI,ADV Integrated MFG Corp Ltd,Diversified Electronics,836,1096,534,2014-08-29,04:40:00,,0.046,0.004,+5.33%,0.0016,2.13,0,0,0,0.002,0.0794,,,37.5,3.2M,51.9M,-53.80%,+5.33%,-0.54%,-9.68%,+14.49%,1.63,,,0.73,0.0875,93000,0.171,0.069,0.079
534,A54.SI,ADV Integrated MFG Corp Ltd,Diversified Electronics,836,507,534,2014-08-29,04:40:00,,0.046,0.004,+5.33%,0.0016,2.13,0,0,0,0.002,0.0795,,,37.5,3.2M,51.9M,-53.80%,+5.33%,-0.65%,-9.74%,+14.49%,1.63,,,0.73,0.0875,93000,0.171,0.069,0.079
3,A18.SI,AEI Corp Ltd,Aluminum,132,649,3,2014-08-27,04:09:00,,0.211,0,0.00%,0.005,3.85,0,0,0,-0.006,0.1334,,,,889K,32.7M,-13.33%,0.00%,-2.55%,-3.01%,+16.07%,0.62,,,1.2,0.134,310000,0.15,0.112,0.13
3,A18.SI,AEI Corp Ltd,Aluminum,132,3,3,2014-08-27,04:09:00,,0.211,0,0.00%,0.005,3.85,0,0,0,-0.006,0.1336,,,,889K,32.7M,-13.33%,0.00%,-2.67%,-3.03%,+16.07%,0.62,,,1.2,0.1341,310000,0.15,0.112,0.13
568,A10.SI,AEM Holdings Ltd,Semiconductor Equipment & Materials,834,1124,568,2014-08-29,05:04:00,,0.102,-0.002,-3.77%,0,,0,0,0,-0.02,0.0613,,,,-8.7M,22.6M,-50.96%,-3.77%,-16.84%,-29.48%,+2.00%,0.52,,,0.49,0.0723,425000,0.104,0.05,0.051
568,A10.SI,AEM Holdings Ltd,Semiconductor Equipment & Materials,834,539,568,2014-08-29,05:04:00,,0.102,-0.002,-3.77%,0,,0,0,0,-0.02,0.0619,,,,-8.7M,22.6M,-50.96%,-3.77%,-17.60%,-29.63%,+2.00%,0.52,,,0.49,0.0725,425000,0.104,0.05,0.051
433,S91.SI,Alibaba Pictures Group Ltd,Entertainment - Diversified,722,410,433,2014-08-06,11:16:00,,0.219,0,0.00%,0,,0,0,0,0.026,1.0028,,,40.38,115.1M,8.742B,-19.23%,0.00%,+4.71%,+19.34%,+660.87%,4.79,,,11.64,0.8799,2000,1.3,0.138,1.05
350,A13.SI,Allied Technologies Ltd,Metal Fabrication,626,330,350,2014-08-28,10:21:00,,0.097,0,0.00%,0.005,14.29,0,0,0,0.023,0.0347,,,1.52,-2.9M,23.6M,-27.08%,0.00%,+0.86%,-1.57%,+25.00%,0.36,,,0.25,0.0356,8000,0.048,0.028,0.035
4,K3HD.SI,Aluminum Corporation,Aluminum,132,567,4,2014-04-29,12:47:00,,12.75,0,0.00%,0,,0,0,0,-0.075,9.18,,,,660.8M,4.949B,0.00%,0.00%,0.00%,+0.59%,+18.15%,0.72,,,0.17,9.1258,50,9.18,7.77,9.18
4,K3HD.SI,Aluminum Corporation,Aluminum,132,4,4,2014-04-29,12:47:00,,12.75,0,0.00%,0,,0,0,0,-0.075,9.18,,,,660.7M,4.949B,0.00%,0.00%,0.00%,+0.59%,+18.15%,0.72,,,0.18,9.1258,50,9.18,7.77,9.18
457,A34.SI,Amara Holdings Ltd,Lodging,710,1026,457,2014-08-29,04:31:00,,0.532,0,0.00%,0,,0.07,0,0,0.048,0.5846,0.7,,11.88,25.5M,328.9M,-7.32%,0.00%,-2.50%,+2.81%,+15.15%,1.07,8.14,,4.34,0.5544,28000,0.615,0.495,0.57
457,A34.SI,Amara Holdings Ltd,Lodging,710,433,457,2014-08-29,04:31:00,,0.532,0,0.00%,0,,0.07,0,0,0.048,0.5849,0.7,,11.88,25.5M,328.9M,-7.32%,0.00%,-2.54%,+2.83%,+15.15%,1.07,8.14,,4.34,0.5543,28000,0.615,0.495,0.57
351,C60.SI,Amplefield Ltd,Metal Fabrication,626,331,351,2014-08-29,09:27:00,,0.019,0.001,+14.29%,0,,0,0,0,0.001,0.0078,,,7,-492K,5.5M,-91.11%,+14.29%,+2.42%,-63.69%,+14.29%,0.37,,,0.8,0.022,1709000,0.09,0.007,0.008
351,C60.SI,Amplefield Ltd,Metal Fabrication,626,938,351,2014-08-29,09:27:00,,0.019,0.001,+14.29%,0,,0,0,0,0.001,0.0078,,,7,-492K,5.5M,-91.11%,+14.29%,+2.42%,-63.53%,+14.29%,0.37,,,0.8,0.0219,1709000,0.09,0.007,0.008
352,M1P.SI,Amtek Engineering Ltd,Metal Fabrication,626,332,352,2014-08-29,05:04:00,,0.3,-0.02,-3.15%,0.033,5.2,0,0,0,0.049,0.6231,0.45,,12.96,52.5M,335.1M,-18.00%,-3.15%,-1.30%,+0.28%,+36.67%,2.12,,,0.54,0.6133,1323000,0.75,0.45,0.615
352,M1P.SI,Amtek Engineering Ltd,Metal Fabrication,626,939,352,2014-08-29,05:04:00,,0.3,-0.02,-3.15%,0.033,5.2,0,0,0,0.049,0.6232,0.45,,12.96,52.5M,335.1M,-18.00%,-3.15%,-1.32%,+0.28%,+36.67%,2.12,,,0.54,0.6133,1323000,0.75,0.45,0.615
9,MF5.SI,Anchun International,Chemicals - Major Diversified,110,653,9,2014-08-27,04:51:00,,0.101,0,0.00%,0,,0,0,0,-0.001,0.0716,,,,3K,34.7M,-50.71%,0.00%,-3.66%,-12.38%,+11.29%,0.68,,,2.19,0.0788,60000,0.14,0.062,0.069
9,MF5.SI,Anchun International,Chemicals - Major Diversified,110,9,9,2014-08-27,04:51:00,,0.101,0,0.00%,0,,0,0,0,-0.001,0.0718,,,,3K,34.7M,-50.71%,0.00%,-3.91%,-12.46%,+11.29%,0.68,,,2.19,0.0788,60000,0.14,0.062,0.069
54,A52.SI,AnnAik Ltd,Steel & Iron,130,54,54,2014-08-22,09:24:00,,0.256,0,0.00%,0.001,0.78,0,0,0,0.001,0.1247,,,129,1.4M,32.1M,-24.56%,0.00%,+3.42%,+2.05%,+43.33%,0.5,,,0.76,0.1264,279000,0.171,0.09,0.129
54,A52.SI,AnnAik Ltd,Steel & Iron,130,693,54,2014-08-22,09:24:00,,0.256,0,0.00%,0.001,0.78,0,0,0,0.001,0.1251,,,129,1.4M,32.1M,-24.56%,0.00%,+3.11%,+2.04%,+43.33%,0.5,,,0.76,0.1264,279000,0.171,0.09,0.129
47,5AU.SI,AP Oil International Ltd,Oil & Gas Refining & Marketing,122,687,47,2014-08-29,03:01:00,,0.26,-0.005,-2.44%,0.005,2.44,0,0,0,0.027,0.2008,,,7.59,5.3M,32.9M,-20.00%,-2.44%,-0.38%,-1.61%,+9.29%,0.79,,,0.48,0.2033,70000,0.25,0.183,0.2
47,5AU.SI,AP Oil International Ltd,Oil & Gas Refining & Marketing,122,47,47,2014-08-29,03:01:00,,0.26,-0.005,-2.44%,0.005,2.44,0,0,0,0.027,0.2008,,,7.59,5.3M,32.9M,-20.00%,-2.44%,-0.38%,-1.63%,+9.29%,0.79,,,0.48,0.2033,70000,0.25,0.183,0.2
212,CY6U.SI,Ascendas India Trust,REIT - Diversified,440,202,212,2014-08-29,05:04:00,,0.603,-0.01,-1.23%,0.0224,2.75,0,0,0.05,0.062,0.8285,0.8,,13.15,64.8M,740.2M,-6.94%,-1.23%,-2.84%,+2.54%,+35.29%,1.35,,16.3,6.18,0.785,200000,0.865,0.595,0.805
212,CY6U.SI,Ascendas India Trust,REIT - Diversified,440,823,212,2014-08-29,05:04:00,,0.603,-0.01,-1.23%,0.0224,2.75,0,0,0.05,0.062,0.8273,0.8,,13.15,64.8M,740.2M,-6.94%,-1.23%,-2.70%,+2.53%,+35.29%,1.35,,16.3,6.18,0.7852,200000,0.865,0.595,0.805
442,A55.SI,Asia Enterprises Holding Ltd,Industrial Equipment Wholesale,752,1014,442,2014-08-26,09:58:00,,0.32,0,0.00%,0.005,2.13,0,0,0,0.006,0.2158,,,39.17,2.6M,80.4M,-2.08%,0.00%,+8.89%,+7.36%,+14.63%,0.73,,,0.93,0.2189,8000,0.24,0.205,0.235
442,A55.SI,Asia Enterprises Holding Ltd,Industrial Equipment Wholesale,752,419,442,2014-08-26,09:58:00,,0.32,0,0.00%,0.005,2.13,0,0,0,0.006,0.2151,,,39.17,2.6M,80.4M,-2.08%,0.00%,+9.23%,+7.41%,+14.63%,0.73,,,0.93,0.2188,8000,0.24,0.205,0.235
372,GH3.SI,Asia Fashion Holdings Ltd,Textile Industrial,628,957,372,2014-08-20,12:45:00,,0,0,0.00%,0,,0,0,0,0.011,0.0676,,,5.91,74.6M,35.7M,-45.83%,0.00%,-3.88%,-14.31%,+132.14%,,,,1.28,0.0759,50000,0.12,0.028,0.065
372,GH3.SI,Asia Fashion Holdings Ltd,Textile Industrial,628,351,372,2014-08-20,12:45:00,,0,0,0.00%,0,,0,0,0,0.011,0.0674,,,5.91,74.6M,35.7M,-45.83%,0.00%,-3.49%,-14.40%,+132.14%,,,,1.28,0.0759,50000,0.12,0.028,0.065
156,5ET.SI,Asiasons Capital Ltd,Asset Management,422,149,156,2014-08-29,05:04:00,,0.072,0,0.00%,0,,0,0,0,-0.099,0.0479,,,,-2.2M,42.1M,-98.52%,0.00%,-10.16%,-21.52%,+22.86%,0.6,,,4.69,0.0548,1824000,2.91,0.035,0.043
156,5ET.SI,Asiasons Capital Ltd,Asset Management,422,590,156,2014-08-29,05:04:00,,0.07,0,0.00%,0,,0,0,0,-0.101,0.0479,,,,-654K,42.1M,-98.52%,0.00%,-10.16%,-21.52%,+22.86%,0.61,,,4.11,0.0548,1824000,2.91,0.035,0.043
156,5ET.SI,Asiasons Capital Ltd,Asset Management,422,775,156,2014-08-29,05:04:00,,0.07,0,0.00%,0,,0,0,0,-0.101,0.0476,,,,-654K,42.1M,-98.52%,0.00%,-9.65%,-21.40%,+22.86%,0.61,,,4.11,0.0547,1824000,2.91,0.035,0.043
535,538.SI,ASJ Holdings Ltd,Diversified Electronics,836,508,535,2014-07-03,08:58:00,,0.083,0,0.00%,0,,0,0,0,-0.007,0.0641,,,,1.6M,17.4M,-8.57%,0.00%,-0.08%,+29.83%,+137.04%,0.77,,,0.37,0.0493,33000,0.07,0.027,0.064
279,A04.SI,ASL Marine Holdings Ltd,Diversified Machinery,622,265,279,2014-08-29,05:04:00,,0.99,-0.005,-0.81%,0.02,3.25,0.11,0,0.11,0.096,0.6555,0.69,0.34,6.41,91.3M,255.9M,-18.67%,-0.81%,-6.95%,-10.81%,+1.67%,0.62,5.59,5.59,0.41,0.6839,112000,0.75,0.6,0.61
279,A04.SI,ASL Marine Holdings Ltd,Diversified Machinery,622,615,279,2014-08-29,05:04:00,,0.99,-0.005,-0.81%,0.02,3.25,0.1,0,0.05,0.096,0.6555,0.66,0.37,6.41,91.3M,255.9M,-18.67%,-0.81%,-6.95%,-10.81%,+1.67%,0.62,6.15,12.3,0.41,0.6839,112000,0.75,0.6,0.61
279,A04.SI,ASL Marine Holdings Ltd,Diversified Machinery,622,878,279,2014-08-29,05:04:00,,0.99,-0.005,-0.81%,0.02,3.25,0.1,0,0.05,0.096,0.6536,0.66,0.37,6.41,91.3M,255.9M,-18.67%,-0.81%,-6.68%,-10.74%,+1.67%,0.62,6.15,12.3,0.41,0.6834,112000,0.75,0.6,0.61
271,A53.SI,A-Sonic Aerospace Ltd,Aerospace/Defense - Major Diversified,610,258,271,2014-08-29,04:59:00,,0.055,0,0.00%,0.0017,2.07,0,0,0,0.001,0.0858,,,82,-5.7M,58.7M,-59.00%,0.00%,-4.38%,-12.73%,+60.78%,1.49,,,0.24,0.094,48000,0.2,0.051,0.082
271,A53.SI,A-Sonic Aerospace Ltd,Aerospace/Defense - Major Diversified,610,871,271,2014-08-29,04:59:00,,0.055,0,0.00%,0.0017,2.07,0,0,0,0.001,0.0857,,,82,-5.7M,58.7M,-59.00%,0.00%,-4.32%,-12.66%,+60.78%,1.49,,,0.24,0.0939,48000,0.2,0.051,0.082
183,A30.SI,Aspial Corp Ltd,Property Management,448,173,183,2014-08-29,05:04:00,,0.177,0,0.00%,0.035,7.87,0,0,0,0.033,0.457,,,13.48,53.1M,808.6M,-7.29%,0.00%,-2.63%,-2.61%,+14.10%,2.51,,,1.59,0.4569,58000,0.48,0.39,0.445
183,A30.SI,Aspial Corp Ltd,Property Management,448,796,183,2014-08-29,05:04:00,,0.177,0,0.00%,0.035,7.87,0,0,0,0.033,0.4566,,,13.48,53.1M,808.6M,-7.29%,0.00%,-2.55%,-2.59%,+14.10%,2.51,,,1.59,0.4568,58000,0.48,0.39,0.445
569,575.SI,Asti Holdings Ltd,Semiconductor Equipment & Materials,834,540,569,2014-08-29,03:27:00,,0.119,-0.001,-1.82%,0,,0,0,0,-0.014,0.0546,,,,-4.7M,35.4M,-31.65%,-1.82%,-1.14%,+3.29%,+17.39%,0.46,,,0.34,0.0523,420000,0.079,0.046,0.054
569,575.SI,Asti Holdings Ltd,Semiconductor Equipment & Materials,834,1125,569,2014-08-29,03:27:00,,0.119,-0.001,-1.82%,0,,0,0,0,-0.014,0.0547,,,,-4.7M,35.4M,-31.65%,-1.82%,-1.28%,+3.27%,+17.39%,0.46,,,0.34,0.0523,420000,0.079,0.046,0.054
434,A23.SI,Auric Pacific Group Ltd,Food Wholesale,757,411,434,2014-08-29,05:04:00,,1.673,-0.02,-1.68%,0.02,1.68,0,0,0,-0.191,1.1727,,,,12.5M,147.0M,-22.00%,-1.68%,-0.23%,-0.04%,+10.38%,0.71,,,0.36,1.1705,7000,1.5,1.06,1.17
305,5GJ.SI,AusGroup Ltd,General Contractors,636,289,305,2014-08-29,05:04:00,,0.277,-0.005,-1.19%,0,,0,0,0,-0.025,0.4232,0.36,,,-18.7M,240.0M,-20.95%,-1.19%,-1.95%,+4.13%,+156.17%,1.52,,,0.74,0.3985,5463000,0.525,0.162,0.415
305,5GJ.SI,AusGroup Ltd,General Contractors,636,898,305,2014-08-29,05:04:00,,0.278,-0.005,-1.19%,0,,0,0,0,-0.026,0.4222,0.36,,,-18.7M,240.0M,-20.95%,-1.19%,-1.70%,+4.10%,+156.17%,1.51,,,0.73,0.3987,5463000,0.525,0.162,0.415
305,5GJ.SI,AusGroup Ltd,General Contractors,636,619,305,2014-08-29,05:04:00,,0.278,-0.005,-1.19%,0,,0,0,0,-0.026,0.4232,0.36,,,-18.7M,240.0M,-20.95%,-1.19%,-1.95%,+4.13%,+156.17%,1.51,,,0.73,0.3985,5463000,0.525,0.162,0.415
490,O2I.SI,AVIC International,Shipping,775,465,490,2014-08-27,03:48:00,,0.103,0,0.00%,0,,0,0,0,0.007,0.1092,,,14.86,10.3M,29.7M,-48.00%,0.00%,-4.78%,-4.59%,+7.22%,1.01,,,0.37,0.109,268000,0.2,0.097,0.104
490,O2I.SI,AVIC International,Shipping,775,1057,490,2014-08-27,03:48:00,,0.103,0,0.00%,0,,0,0,0,0.007,0.1091,,,14.86,10.3M,29.7M,-48.00%,0.00%,-4.63%,-4.56%,+7.22%,1.01,,,0.37,0.109,268000,0.2,0.097,0.104
570,CT1.SI,Avi-Tech Electronics Ltd,Semiconductor Equipment & Materials,834,541,570,2014-08-29,04:51:00,,0.113,0.002,+3.45%,0,,0,0,0,-0.029,0.0615,,,,1.7M,20.5M,-43.40%,+3.45%,-2.37%,-5.11%,+5.26%,0.51,,,0.86,0.0632,461000,0.106,0.057,0.06
570,CT1.SI,Avi-Tech Electronics Ltd,Semiconductor Equipment & Materials,834,643,570,2014-08-29,04:51:00,,0.133,0.002,+3.45%,0,,0,0,0,-0.003,0.0615,,,,-169K,20.5M,-43.40%,+3.45%,-2.37%,-5.11%,+5.26%,0.44,,,0.61,0.0632,461000,0.106,0.057,0.06
570,CT1.SI,Avi-Tech Electronics Ltd,Semiconductor Equipment & Materials,834,1126,570,2014-08-29,04:51:00,,0.133,0.002,+3.45%,0,,0,0,0,-0.003,0.0614,,,,-169K,20.5M,-43.40%,+3.45%,-2.20%,-5.07%,+5.26%,0.44,,,0.61,0.0632,461000,0.106,0.057,0.06
184,A05.SI,AVJennings Ltd,Property Management,448,595,184,2014-08-29,03:03:00,,0.831,-0.01,-1.59%,0,,0,0,0,0.047,0.5619,,,13.4,25.8M,235.7M,-3.12%,-1.59%,+10.34%,+9.29%,+24.00%,0.76,,,0.96,0.5673,2000,0.64,0.5,0.62
184,A05.SI,AVJennings Ltd,Property Management,448,174,184,2014-08-29,03:03:00,,0.831,-0.01,-1.59%,0,,0.05,0,0.08,0.047,0.5619,,,13.4,25.8M,235.7M,-3.12%,-1.59%,+10.34%,+9.29%,+24.00%,0.76,12.6,7.88,0.96,0.5673,2000,0.64,0.5,0.62
184,A05.SI,AVJennings Ltd,Property Management,448,797,184,2014-08-29,03:03:00,,0.831,-0.01,-1.59%,0,,0,0,0,0.047,0.5631,,,13.4,25.8M,235.7M,-3.12%,-1.59%,+10.10%,+9.22%,+24.00%,0.76,,,0.96,0.5677,2000,0.64,0.5,0.62
549,A69.SI,Azeus Systems Holdings Ltd,Information Technology Services,824,520,549,2014-08-29,11:44:00,,0.052,0,0.00%,0.1038,66.97,0,0,0,0.008,0.1453,,,19.38,3.0M,46.5M,-11.93%,0.00%,+6.70%,+12.77%,+31.36%,2.98,,,2.12,0.1375,200000,0.176,0.118,0.155
549,A69.SI,Azeus Systems Holdings Ltd,Information Technology Services,824,1108,549,2014-08-29,11:44:00,,0.052,0,0.00%,0.1038,66.97,0,0,0,0.008,0.1458,,,19.38,3.0M,46.5M,-11.93%,0.00%,+6.32%,+12.67%,+31.36%,2.98,,,2.12,0.1376,200000,0.176,0.118,0.155
520,560.SI,Aztech Group Ltd,Communication Equipment,841,1083,520,2014-08-29,01:21:00,,0.173,-0.001,-0.73%,0,,0,0,0,0.018,0.138,,,7.61,14.4M,66.1M,-17.07%,-0.73%,-1.47%,-0.81%,+65.85%,0.79,,,0.21,0.1371,20000,0.164,0.082,0.136
520,560.SI,Aztech Group Ltd,Communication Equipment,841,493,520,2014-08-29,01:21:00,,0.173,-0.001,-0.73%,0,,0,0,0,0.018,0.138,,,7.61,14.4M,66.1M,-17.07%,-0.73%,-1.45%,-0.82%,+65.85%,0.79,,,0.21,0.1371,20000,0.164,0.082,0.136
554,K3SD.SI,Baidu Inc,Internet Information Providers,851,642,554,2014-08-18,12:28:00,,20.586,0,0.00%,0,,0,0,0,5.514,169.568,,,31.74,2.488B,61.357B,0.00%,0.00%,+3.20%,+9.73%,+35.24%,8.5,,,9.46,159.486,30,175,129.4,175
554,K3SD.SI,Baidu Inc,Internet Information Providers,851,525,554,2014-08-18,12:28:00,,20.581,0,0.00%,0,,0,0,0,5.512,169.568,,,31.75,2.488B,61.357B,0.00%,0.00%,+3.20%,+9.73%,+35.24%,8.5,,,9.47,159.486,30,175,129.4,175
28,568.SI,Baker Technology Ltd,Oil & Gas Equipment & Services,124,669,28,2014-08-29,09:52:00,,0.225,0,0.00%,0.01,3.7,0,0,0,0.011,0.2722,,,24.55,13.2M,244.4M,-20.59%,0.00%,-0.79%,-7.23%,+5.88%,1.2,,,3.38,0.291,41000,0.34,0.255,0.27
28,568.SI,Baker Technology Ltd,Oil & Gas Equipment & Services,124,28,28,2014-08-29,09:52:00,,0.225,0,0.00%,0.01,3.7,0,0,0,0.011,0.2724,,,24.55,13.2M,244.4M,-20.59%,0.00%,-0.89%,-7.27%,+8.00%,1.2,,,3.38,0.2912,41000,0.34,0.25,0.27
418,B26.SI,Ban Leong Technologies Ltd,Computers Wholesale,755,996,418,2014-08-26,03:32:00,,0.202,0,0.00%,0.01,4.76,0,0,0,0.012,0.2064,,,17.5,2.6M,24.4M,-4.55%,0.00%,+1.77%,+14.47%,+31.25%,1.04,,,0.19,0.1835,8000,0.22,0.16,0.21
418,B26.SI,Ban Leong Technologies Ltd,Computers Wholesale,755,396,418,2014-08-26,03:32:00,,0.202,0,0.00%,0.01,4.76,0,0,0,0.012,0.2061,,,17.5,2.6M,24.4M,-4.55%,0.00%,+1.90%,+14.58%,+31.25%,1.04,,,0.19,0.1833,8000,0.22,0.16,0.21
482,B58.SI,Banyan Tree Holdings Ltd,Resorts & Casinos,711,1049,482,2014-08-29,05:04:00,,0.702,0,0.00%,0.01,1.54,0.01,0,0.03,0.004,0.6577,0.79,,162.5,43.5M,494.0M,-7.14%,0.00%,-1.17%,+1.03%,+12.07%,0.93,65,21.67,1.45,0.6433,19000,0.7,0.58,0.65
482,B58.SI,Banyan Tree Holdings Ltd,Resorts & Casinos,711,457,482,2014-08-29,05:04:00,,0.702,0,0.00%,0.01,1.54,0.01,0,0.03,0.004,0.658,0.79,,162.5,43.5M,494.0M,-7.14%,0.00%,-1.21%,+1.04%,+12.07%,0.93,65,21.67,1.45,0.6433,19000,0.7,0.58,0.65
306,KJ5.SI,BBR Holdings (S) Ltd,General Contractors,636,290,306,2014-08-29,04:27:00,,0.435,-0.005,-1.69%,0.008,2.71,0.1,0,0.05,0.088,0.2899,0.35,,3.35,34.2M,89.1M,-4.92%,-1.69%,+0.05%,+6.27%,+16.00%,0.68,2.95,5.9,0.16,0.2729,819000,0.305,0.25,0.29
306,KJ5.SI,BBR Holdings (S) Ltd,General Contractors,636,899,306,2014-08-29,04:27:00,,0.435,-0.005,-1.69%,0.008,2.71,0.1,0,0.05,0.088,0.2901,0.35,,3.35,34.2M,89.1M,-4.92%,-1.69%,-0.05%,+6.23%,+16.00%,0.68,2.95,5.9,0.16,0.273,819000,0.305,0.25,0.29
29,5MC.SI,Beng Kuang Marine Ltd,Oil & Gas Equipment & Services,124,29,29,2014-08-29,05:04:00,,0.147,-0.001,-0.53%,0,,0,0,0,-0.002,0.1846,,,,8.5M,100.4M,-4.62%,-0.53%,+0.75%,+9.10%,+111.36%,1.27,,,1.28,0.1705,10561000,0.195,0.088,0.186
